DOC	LANG	URL
106258	ja	https://www.y-mainichi.co.jp/news/38827/
100341	en	https://financialpost.com/pmn/business-pmn/fall-armyworm-occurrence-in-china-more-serious-than-last-year-agri-ministry
116665	es	https://www.aenverde.es/las-interceptaciones-de-citricos-procedentes-de-paises-terceros-con-plagas-subieron-de-nuevo-un-23/
104670	fi	https://www.ruokavirasto.fi/viljelijat/kasvintuotanto/kasvinterveys/ajankohtaista-kasvinterveydesta/tomaatin-ruskokurttuvirusta-loytyi-ensimmaista-kertaa-suomalaiselta-viljelmalta/
102918	en	https://www.mdpi.com/2223-7747/11/16/2166
98883	es	https://www.mercacei.com/noticia/57005/ultima-hora/la-efsa-actualiza-su-base-de-datos-de-plantas-huespedes-de-la-xylella-fastidiosa.html
104816	en	https://pubmed.ncbi.nlm.nih.gov/36085246/
103838	fr	https://agri82.chambre-agriculture.fr/actualites/detail-de-lactualite/actualites/plantes-en-danger-tous-concernes-2/
102437	en	https://www.azolifesciences.com/news/20220816/Liberibacter-species-closely-related-to-deadly-citrus-greening-disease-mutating-rapidly.aspx
105107	es	https://news.eseuro.com/technology/882150.html
106935	fr	https://www.plan-deperissement-vigne.fr/outils/webtv/webinaire-flavescence-doree-une-lutte-collective-necessaire-replay
116718	es	https://www.freshplaza.es/article/9467160/la-enfermedad-del-dragon-amarillo-amenaza-las-naranjas-de-sevilla/
115172	it	https://www.brindisireport.it/attualita/xylella-fasano-nove-alberi-infetti.html
99201	en	https://www.sciencedirect.com/science/article/abs/pii/S0261219422001545
100292	pt	https://agriculturaemar.com/dgav-realiza-formacao-sobre-tratamento-termico-de-madeira-de-coniferas/
115247	it	https://agorablog.it/ultime-news/xylella-locorotondo-due-piante-infette-in-agro-di-martina-franca-ben-14/
104687	en	https://www.mdpi.com/2223-7747/11/18/2339
104895	it	https://www.ilmonito.it/mosca-orientale-della-frutta-assessore-caputo-riunita-unita-di-crisi-fitosanitaria-regionale-per-fronteggiare-lemergenza/
102244	it	https://olivoeolio.edagricole.it/attualita/monitoraggio-xylella-piante-infette-in-zona-indenne/
115279	it	https://www.zazoom.it/2022-10-06/xylella-a-polignano-a-mare-e-martina-franca-il-maggior-numero-di-nuove-infezioni-coldiretti-puglia-monitoraggio-altri-42-alberi-contagiati/11696011/
100347	en	https://www.kansascity.com/news/business/national-international/article263919491.html#storylink=mainstage_card
99583	hu	https://www.magro.hu/agrarhirek/tobb-gazdasagra-terjedt-at-a-tobrfv-fertozes-kuzdenek-a-paradicsom-korokozo-ellen/
98430	en	https://www.mdpi.com/2075-4450/13/7/635
99910	es	https://pdnoticias.com/economia/plaga-del-dragon-amarillo-ha-arrasado-con-los-citricos-en-el-pais
98631	en	https://www.sciencedirect.com/science/article/pii/S2214574522000633?via%3Dihub
105588	es	https://www.phytoma.com/noticias/noticias-de-actualidad/baleares-expone-su-plan-de-contencion-contra-la-xylella
116947	fr	https://freedom.fr/la-resistance-sorganise-contre-les-mouches-des-fruits/
117737	fr	https://www.agrimaroc.ma/pays-bas-un-plan-delimination-du-tobrfv-enfin-publie/
116719	en	https://agroinsurance.com/en/News/Spain---Seville’s-marm
98863	nl	https://www.lto.nl/aad-vollebregt-in-nieuwsuur-xylella-uitbraak-en-de-ernstige-gevolgen/
104650	en	https://www.mdpi.com/2223-7747/11/17/2287
105168	en	https://askbygeeks.com/covid19/290714/
117896	az	http://afsa.gov.az/az/media/news_details/3490
100020	de	https://der-farang.com/de/pages/japankaefer-in-sueddeutschland-entdeckt-grosses-schadenspotenzial
105411	it	https://agenparl.eu/2022/09/08/catasto-olivicolo-delle-aree-delimitate-colpite-da-xylella-fastidiosa-al-via-la-consultazione-pubblica/
105427	it	https://www.napolitoday.it/attualita/mosca-orientale-frutta-campania.html
100110	en	https://freshproduce.org.uk/news/tomato-rugrose-eu-pest-survey-information
106217	it	https://www.italiaolivicola.it/news/xylella/xylella-spunta-un-focolaio-a-castellana-grotte/
115196	el	https://www.ypaithros.gr/taae-messinias-enimerosi-sxetika-katastasi-xylella-fastidiosa-stin-epikrateia-ee/
114460	en	https://www.aphis.usda.gov/aphis/newsroom/stakeholder-info/stakeholder-messages/plant-health-news/da-2022-33
115195	it	https://www.ilikepuglia.it/notizie/07-10-2022/una-piattaforma-elettronica-per-prevenire-xylella
100461	de	https://www.welt.de/regionales/baden-wuerttemberg/article240166107/Grosses-Schadenspotenzial-Japankaefer-in-Freiburg-entdeckt.html
107271	nl	https://www.nd.nl/nieuws/buitenland/1142855/bananenschimmel-brengt-voedselzekerheid-afrika-in-gevaar
115677	en	https://blogs.cornell.edu/sips/2022/10/07/recent-publications-from-the-sips-community-october-6-2022/
106079	el	https://www.agrotypos.gr/kalliergeies/kipeftika/proto-krousma-tou-iou-tis-kastanis-rytidosis-ntomatas-stin-arkadia
103798	en	https://apsjournals.apsnet.org/doi/10.1094/PDIS-04-22-0809-PDN
104272	pt	https://www.flfrevista.pt/2022/08/dgav-publica-despacho-sobre-flavescencia-dourada/
104809	it	https://www.giornaledipuglia.com/2022/09/catasto-olivicolo-casili-m5s-dopo-la.html
118130	en	https://farmersreviewafrica.com/cabi-led-study-provides-comprehensive-review-of-devastating-fall-armyworm-pest/
118126	es	https://www.agropopular.com/vector-africano-271022/
103899	en	https://www.breakinglatest.news/news/the-journey-of-the-xylella-along-the-lecce-bari-state-road-the-vector-of-the-bacterium-gets-into-the-grooves-of-the-tires/
104896	it	https://www.appiapolis.it/2022/09/08/allarme-mosca-orientale-della-frutta-assessore-caputo-riunita-unita-di-crisi-fitosanitaria-regionale-per-fronteggiare-lemergenza/
98756	it	https://www.virgilio.it/italia/novara/notizielocali/la_popillia_minaccia_anche_le_coltivazioni_del_vercellese-69271437.html
104743	it	https://bariseranews.it/2022/09/08/xylella-al-via-la-fase-di-consultazione-per-la-mappatura-del-territorio/
104428	pt	https://odocumento.com.br/mapa-registra-50-defensivos-agricolas/
117254	es	https://prod.senasica.gob.mx/ALERTAS/inicio/pages/single.php?noticia=19708
115225	it	https://ostuninews.it/xylella-linfezione-avanza-lallarme-di-coldiretti-puglia/
116659	es	https://www.agrodigital.com/2022/10/14/las-interceptaciones-de-citricos-procedentes-de-paises-terceros-con-plagas-subieron-de-nuevo-un-23-hasta-septiembre/
102779	fr	https://www.tdg.ch/le-patrimoine-genetique-de-la-flavescence-doree-decrypte-419283776605
100018	it	https://www.rsi.ch/news/ticino-e-grigioni-e-insubria/Un-milione-di-coleotteri-in-trappola-15506461.html
99769	en	https://netherlands.postsen.com/news/44516/The-Netherlands-warns-against-plants-as-Spanish-souvenirs.html
114252	en	https://www.ncbi.nlm.nih.gov/pubmed/36167516
106074	en	https://hellas.postsen.com/local/amp/107887
118017	en	https://agroinsurance.com/en/News/UK---Scientists-have-pro
103236	es	https://www.diariodesevilla.es/sevilla/Jardines-Buhaira-control-biologico-preventivo-plagas-naranjos_0_1713429333.html
115127	es	https://www.perlavision.cu/exhortan-fitosanitarios-cumanayaguenses-al-rastreo-de-enfermedad-del-platano/
98146	es	https://www.argentina.gob.ar/noticias/prevencion-del-hlb-se-eliminaron-18000-plantines-de-citricos-en-tucuman
117704	fr	https://defensepaysannedulot.fr/?post_type=post&p=7448
117694	en	https://www.nature.com/articles/s41598-022-20577-x
103869	pt	https://www.agroportal.pt/supressao-da-zona-demarcada-para-xylella-fastidiosa-em-luz-de-tavira-e-santo-estevao-concelho-de-tavira/
103358	de	https://www.agrar-aktuell.de/News/1661351536/Erstmals-weiblicher-Japankaefer-in-Baden-Wuerttemberg-gefangen.html
104215	de	https://www.proplanta.de/agrar-nachrichten/pflanze/achtung-weiblicher-japankaefer-in-weil-am-rhein-gefangen_article1661943594.html
104075	en	https://academicjournals.org/journal/AJPS/article-full-text/7EC506369615
117320	en	https://www.sciencedirect.com/science/article/pii/S0378112722005370?dgcid=rss_sd_all
117923	en	https://www.en.krishakjagat.org/biopesticides-biocontrols/cabi-led-study-provides-comprehensive-review-of-devastating-fall-armyworm-pest/
103637	en	https://www.frontiersin.org/articles/10.3389/fevo.2022.990747/full
106938	en	https://oeno-one.eu/article/view/5460
117866	pt	https://revistacultivar.com.br/noticias/fungo-combate-simultaneamente-duas-das-principais-ameacas-a-produtividade-de-bananeiras
115849	it	https://www.sardegnagol.eu/cnr-una-piattaforma-elettronica-per-prevenire-xylella/
116494	en	https://article.wn.com/view/2022/10/12/New_Cavendish_banana_variety_with_complete_TR4_Panama_diseas/
100145	en	https://www.cambridge.org/core/journals/bulletin-of-entomological-research/article/green-lacewing-chrysopa-formosa-as-a-potential-biocontrol-agent-for-managing-spodoptera-frugiperda-and-spodoptera-litura/B292B6DBE6CFC31A08DC628F712E1315
118097	es	https://valenciaplaza.com/elvectorafricanodelaplagamasmortiferadeloscitricosseextiendeyaportodoellitoralportugues
116078	es	https://www.esdiario.com/valencia/629127147/incrementan-intercepciones-c.html
99105	pt	https://revistacampoenegocios.com.br/oleo-essencial-de-laranja-no-controle-de-psilideo/
117117	it	https://www.geoportale.regione.lombardia.it/metadati?p_p_id=detailSheetMetadata_WAR_gptmetadataportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_detailSheetMetadata_WAR_gptmetadataportlet_uuid=%7BF70C3C25-D794-48D7-9D42-B9DA2A514DC2%7D
118096	es	https://www.agropopular.com/vector-africano-271022/
104439	pt	https://www.jornalmtnorte.com.br/agronegocio/mapa-registra-50-defensivos-agricolas-metade-sao-biologicos/20776
102752	pt	https://g1.globo.com/pa/santarem-regiao/noticia/2022/08/17/estudo-revela-novo-registro-de-insetos-condutores-de-doencas-a-plantas-na-flona-tapajos.ghtml
115973	es	https://www.interempresas.net/Grandes-cultivos/Articulos/407141-Nueva-plataforma-electronica-en-Italia-para-prevenir-la-Xylella-fastidiosa.html
115731	en	https://www.sciencedirect.com/science/article/pii/S0261219422002101?dgcid=rss_sd_all
115697	it	https://www.virgilio.it/italia/bari/notizielocali/sale_il_numero_di_ulivi_attaccati_dalla_xylella_nel_barese_alberi_infetti_anche_nella_zona_indenne_a_polignano-69803090.html
106089	el	https://www.agronews.gr/farming/201413/krousma-iosis-kastanis-rutidosis-stin-arkadia-ta-metra-prolipsis/
103971	en	https://inergency.com/enzyme-mediated-amplification-ema-for-detection-of-the-pinewood-nematode-bursaphelenchus-xylophilus/
100099	en	https://whatsnew2day.com/researchers-use-science-of-light-to-reduce-pesticides-used-to-protect-crops-from-pests-and-diseases/
105299	it	https://www.vesuviolive.it/ultime-notizie/440582-mosca-orientale-campania-frutta/
99408	en	https://www.mdpi.com/1999-4907/13/7/1131
106937	fr	https://www.info-flash.com/info-flash/actualites/france/76581-revue-de-presse-21/37186195-information.html
97957	fr	https://www.objectifgard.com/tag/xylella-fastidiosa/
103949	it	https://it.geosnews.com/news/pescara-1/il-viaggio-della-xylella-lungo-la-statale-lecce-bari-il-vettore-del-batterio-si-infila-nelle-scanalature-degli-pneumatici-3eu4
104674	en	https://www.mdpi.com/2079-6382/11/8/1092
106962	it	https://www.altoadigeinnovazione.it/flavescenza-dorata-2/
